Cleveland,13841
Chicago,294
Philadelphia,278
Pittsburgh,238
Cincinnati,227
Louisville,189
Detroit,172
Dayton,170
Lexington,166
Indianapolis,163
Milwaukee,147
Columbus,144
Springfield,141
Fort Wayne,120
Madison,115
Peoria,114
Toledo,108
Akron,105
Evansville,101
Erie,95
Lansing,87
Grand Rapids,77
Harrisburg,77
Canton,74
South Bend,54
Flint,48
Wilkes Barre,42
Youngstown,38
Kalamazoo,36
Warren,33
Rockford,33
Lancaster,31
Scranton,30
Reading,28
Green Bay,27
Bloomington,26
Terre Haute,25
Carol Stream,24
Gary,22
Saginaw,20
Anderson,20
Farmington,20
Southfield,19
New Castle,18
Allentown,18
Mansfield,18
Aurora,18
Levittown,18
Schaumburg,17
Palatine,16
Muskegon,16
East Saint Louis,16
Appleton,16
Racine,16
Ann Arbor,15
Lima,15
Bethlehem,15
Crawfordsville,14
Muncie,14
Lafayette,14
Battle Creek,13
Champaign,13
Hamilton,13
Dearborn,12
Valley Forge,12
Joliet,12
Midland,12
Evanston,12
London,12
Naperville,12
York,11
Decatur,11
Jeffersonville,10
Mc Keesport,10
Troy,10
Johnstown,9
Frankfort,8
